Score: 48, seed: final-482, avg: 57.2, std: 5.3
Score: 56, seed: final-425, avg: 57.2, std: 5.3
Score: 59, seed: final-474, avg: 57.2, std: 5.3
Score: 56, seed: final-393, avg: 57.2, std: 5.3
Score: 55, seed: final-480, avg: 57.2, std: 5.3
Score: 61, seed: final-400, avg: 57.2, std: 5.3
Score: 61, seed: final-427, avg: 57.2, std: 5.3
Score: 65, seed: final-488, avg: 57.2, std: 5.3
Score: 52, seed: final-399, avg: 57.2, std: 5.3
Score: 59, seed: final-431, avg: 57.2, std: 5.3
Score: 61, seed: final-486, avg: 57.2, std: 5.3
Score: 49, seed: final-494, avg: 57.2, std: 5.3
Score: 56, seed: final-406, avg: 57.2, std: 5.3
Score: 62, seed: final-437, avg: 57.2, std: 5.3
Score: 53, seed: final-433, avg: 57.2, std: 5.3
Score: 67, seed: final-492, avg: 57.2, std: 5.3
Score: 61, seed: final-500, avg: 57.2, std: 5.3
Score: 59, seed: final-405, avg: 57.2, std: 5.3
Score: 56, seed: final-498, avg: 57.2, std: 5.3
Score: 64, seed: final-412, avg: 57.3, std: 5.3
Score: 56, seed: final-506, avg: 57.3, std: 5.3
Score: 58, seed: final-443, avg: 57.3, std: 5.3
Score: 61, seed: final-411, avg: 57.3, std: 5.3
Score: 46, seed: final-504, avg: 57.2, std: 5.3
Score: 62, seed: final-418, avg: 57.2, std: 5.3
Score: 48, seed: final-512, avg: 57.2, std: 5.3
Score: 50, seed: final-449, avg: 57.2, std: 5.3
Score: 61, seed: final-439, avg: 57.2, std: 5.3
Score: 53, seed: final-510, avg: 57.2, std: 5.3
Score: 66, seed: final-518, avg: 57.2, std: 5.3
Score: 61, seed: final-424, avg: 57.2, std: 5.3
Score: 58, seed: final-417, avg: 57.2, std: 5.3
Score: 64, seed: final-445, avg: 57.3, std: 5.3
Score: 52, seed: final-516, avg: 57.2, std: 5.3
Score: 60, seed: final-455, avg: 57.2, std: 5.3
Score: 58, seed: final-524, avg: 57.2, std: 5.3
Score: 66, seed: final-423, avg: 57.3, std: 5.3
Score: 57, seed: final-430, avg: 57.3, std: 5.3
Score: 64, seed: final-451, avg: 57.3, std: 5.3
Score: 59, seed: final-461, avg: 57.3, std: 5.3
Score: 58, seed: final-522, avg: 57.3, std: 5.3
Score: 65, seed: final-530, avg: 57.3, std: 5.3
Score: 59, seed: final-429, avg: 57.3, std: 5.3
Score: 64, seed: final-436, avg: 57.3, std: 5.3
Score: 49, seed: final-457, avg: 57.3, std: 5.3
Score: 59, seed: final-467, avg: 57.3, std: 5.3
Score: 63, seed: final-536, avg: 57.3, std: 5.3
Score: 62, seed: final-528, avg: 57.3, std: 5.3
Score: 60, seed: final-442, avg: 57.3, std: 5.3
Score: 55, seed: final-435, avg: 57.3, std: 5.3
Score: 58, seed: final-473, avg: 57.3, std: 5.3
Score: 67, seed: final-542, avg: 57.3, std: 5.3
Score: 43, seed: final-534, avg: 57.3, std: 5.3
Score: 63, seed: final-463, avg: 57.3, std: 5.3
Score: 52, seed: final-448, avg: 57.3, std: 5.3
Score: 56, seed: final-441, avg: 57.3, std: 5.3
Score: 57, seed: final-479, avg: 57.3, std: 5.3
Score: 50, seed: final-548, avg: 57.3, std: 5.3
Score: 58, seed: final-540, avg: 57.3, std: 5.3
Score: 56, seed: final-469, avg: 57.3, std: 5.3
Score: 53, seed: final-554, avg: 57.3, std: 5.3
Score: 67, seed: final-447, avg: 57.3, std: 5.3
